MT02.BHZ.C1.--,-33.2591,-71.1377,323.00,0.27088530,-0.79289326,-0.54584011,506
BI05.BHZ.C1.--,-36.7478,-73.1905,52.00,0.23227918,-0.76888547,-0.59570254,101
BO04.BHZ.C1.--,-33.9888,-70.6090,469.00,0.27586537,-0.78375598,-0.55643944,1001
AC02.BHZ.C1.--,-26.8355,-69.1291,3980.00,0.31833111,-0.83489890,-0.44900905,509
CO03.BHZ.C1.--,-30.8389,-70.6891,1003.00,0.28443907,-0.81173541,-0.51007846,991
BO01.BHZ.C1.--,-34.3917,-71.0848,262.50,0.26807595,-0.78230848,-0.56225326,471
VA05.BHZ.C1.--,-33.6571,-71.6143,80.00,0.26308170,-0.79151135,-0.55163195,382
MG02.BHZ.C1.--,-52.7808,-69.2242,82.00,0.21547077,-0.56795331,-0.79435596,63
TA01.BHZ.C1.--,-20.5656,-70.1807,616.00,0.31770987,-0.88154130,-0.34920678,592
LL06.BHZ.C1.--,-42.2151,-73.6283,180.00,0.20939317,-0.71275653,-0.66942709,128
VA02.BHZ.C1.--,-27.1603,-109.4345,49.00,-0.29645415,-0.84021203,-0.45404700,84
AC05.BHZ.C1.--,-28.8364,-70.2738,1287.00,0.29613463,-0.82588178,-0.47981618,747
ML02.BHZ.C1.--,-35.7626,-71.4181,237.00,0.25916893,-0.77091042,-0.58183210,2405
CO01.BHZ.C1.--,-29.9773,-70.0939,2157.00,0.29542606,-0.81583408,-0.49712995,860
AF01.BHZ.C1.--,-22.9520,-68.1788,2372.00,0.34263366,-0.85572512,-0.38773276,1189
AC06.BHZ.C1.--,-27.3571,-70.3547,380.00,0.29901951,-0.83764753,-0.45709293,713
BO02.BHZ.C1.--,-34.7924,-70.7814,886.00,0.27091691,-0.77715496,-0.56800898,750
LL02.BHZ.C1.--,-43.1906,-71.8484,368.00,0.22784899,-0.69498391,-0.68196936,338
LC02.BHZ.C1.--,-38.7919,-73.3947,64.70,0.22333019,-0.74889368,-0.62392458,82
MG04.BHZ.C1.--,-52.8572,-71.5700,82.00,0.19170795,-0.57528947,-0.79516670,68
VA06.BHZ.C1.--,-32.5612,-71.2977,80.00,0.27077697,-0.79986808,-0.53562197,550
LL04.BHZ.C1.--,-40.9097,-72.4082,247.00,0.22907020,-0.72247819,-0.65234355,1761
LL05.BHZ.C1.--,-41.4053,-73.4745,208.00,0.21397429,-0.72118397,-0.65886925,335
MT05.BHZ.C1.--,-33.3919,-70.7381,765.00,0.27599160,-0.78979152,-0.54777549,169
TA02.BHZ.C1.--,-20.2705,-70.1311,86.50,0.31907687,-0.88293724,-0.34440061,1881
LR03.BHZ.C1.--,-39.6322,-72.3457,253.20,0.23420666,-0.73589249,-0.63530268,1334
