
STA            LAT          LON     ELEV STAT     ONDATE    OFFDATE STANAME
CM14      18.43608     98.91391     .361 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM14, Thailand
CM15      18.45245     98.92463     .327 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM15, Thailand
CM16      18.45745     98.94299     .311 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM16, Thailand
CM17      18.45772     98.96266     .329 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM17, Thailand
CM18      18.46103     98.98325     .316 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM18, Thailand
CM31      18.45760     98.94315     .308 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM31, Thailand
CM32      18.65338     98.83879     .292 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM32, Thailand
CM33      18.81775     98.94681     .361 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM33, Thailand
CM34      18.85118     99.15009     .319 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM34, Thailand
CM35      18.67814     99.15421     .276 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM35, Thailand
CM36      18.51830     99.09560     .351 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM36, Thailand
CMAR      18.45760     98.94315     .308 ar      1986181         -1 CHIANG MAI ARRAY, Thailand
CMIG      17.09100    -94.88380     .075 ss      2005326    2009349 COLONIA CUAUHTEMOC, OAXACA, MEXICO
CMIG      17.09100    -94.88380     .080 ss      2009350         -1 Colonia Cuauhtemoc
CPUP     -26.33070    -57.33100     .135 ss      2002140         -1 VILLA FLORIDA , Paraguay
CPUP     -26.33060    -57.32920     .005 ss      1994001    2002113 Villa Florida, Paraguay
CTA      -20.08760    146.25000     .427 ss      2003305         -1 CHARTERS TOWERS
CTA      -20.08850    146.25400     .358 ss      1987342    2003051 Charters Towers, Australia
DAV        7.07000    125.57900     .146 ss      1994352         -1 DAVAO, Philippines
DAVOS     46.83940      9.79430    2.800 ss      1974253         -1 Davos, Switzerland
DAVOX     46.78060      9.87970    1.830 ss      2002206         -1 DAVOS
DBIC       6.67010     -4.85630     .025 ss      1994151    2002245 Dimbokro, Ivory Coast
DBIC       6.67010     -4.85630     .160 ss      2004106         -1 DIMBROKO, Cote d'Ivoire
DGN01     -6.34210     71.01430     .000 ss      1999364    2001265 Diego Garcia
